Supplementary Tabl 4.2. Phenotype data formatted for calculating correlations and QTL mapping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Only winter/extended cold temperature associated traits were used for QTL mapping in this chapter (columns D:AE). Additional columns used to calculate correlations. Planting replicates indicated as W1-W3. Spike replicates indicated as 1 or 2. anth = anthocyanin. OD = average of T and C experimental replicates. T = cold shock/LMA-treated. C = control/untreated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subpopulation,Genotype,Subpop. ID,WLMA freq.,cube W avg.,cube W1 avg.,cube W2 avg.,cube W3 avg.,cube W1.S1 avg.,cube W1.S2 avg.,cube W2.S1 avg.,cube W2.S2 avg.,cube W3.S1 avg.,cube W3.S2 avg.,W avg.,W1 avg.,W2 avg.,W3 avg.,W1.S1 avg.,W1.S2 avg.,W2.S1 avg.,W2.S2 avg.,W3.S1 avg.,W3.S2 avg.,avg. anth. count,avg. grain fill,avg. spike distortion,avg. spike curl,W1.anth. count,W2.anth. count,W3.anth. count,TLMA_freq,CLMA_freq,cube avg. OD,cube avg. T,cube avg. C
HT080125LU,31,HT080125LU_31,2,1.289486204,1.169271956,1.650963624,0.693650055,0.803629343,1.388727507,1.650963624,1.650963624,0.699829891,0.687358097,2.144125,1.598625,4.5,0.33375,0.519,2.67825,4.5,4.5,0.34275,0.32475,1.333333333,3,0,0.333333333,0,2,2,3,3,0.762995736,0.840061094,0.666100213
HT080125LU,32,HT080125LU_32,2,0.836801105,1.046967821,0.75155234,0.570570886,0.761453819,1.228429927,0.865238443,0.586019359,0.533972757,0.602994291,0.585958333,1.147625,0.4245,0.18575,0.4415,1.85375,0.64775,0.20125,0.15225,0.21925,1.666666667,3,0.333333333,0.333333333,0,3,2,2,3,0.736045317,0.809822096,0.632636969
HT080125LU,33,HT080125LU_33,2,0.921351589,0.654894026,1.173038829,0.767089139,0.705065299,0.595569213,1.167409957,1.178614192,0.745453982,0.787568231,0.782125,0.280875,1.614125,0.451375,0.3505,0.21125,1.591,1.63725,0.41425,0.4885,2,2.666666667,0,0,2,3,1,3,3,0.591369508,0.58638312,0.596273196
HT080125LU,34,HT080125LU_34,2,1.079701182,1.461969881,0.7642462,0.589516985,1.287955819,1.602210486,0.896902935,0.555320271,0.590355048,0.588676532,1.258666667,3.12475,0.446375,0.204875,2.1365,4.113,0.7215,0.17125,0.20575,0.204,3,3,0,0.333333333,3,3,3,3,3,0.647743656,0.662528182,0.637499466
HT080125LU,35,HT080125LU_35,2,0.705874597,0.64672913,0.745228973,0.718390179,0.697439626,0.586504274,0.800260332,0.680589166,0.746651741,0.687710679,0.351708333,0.2705,0.413875,0.37075,0.33925,0.20175,0.5125,0.31525,0.41625,0.32525,1.666666667,3,0,0,0,2,3,3,3,0.621428519,0.643693112,0.597442821
HT080125LU,36,HT080125LU_36,1,0.719196635,0.836285088,NA,0.541892082,0.855101957,0.816581045,NA,NA,0.557205466,0.525660544,0.372,0.584875,NA,0.159125,0.62525,0.5445,NA,NA,0.173,0.14525,1.333333333,3,0,0,1,0,3,3,2,0.651083007,0.663665328,0.63710279
HT080125LU,37,HT080125LU_37,3,1.006142745,1.100653881,1.026697564,0.861773876,1.109761602,1.091392883,0.982529906,1.067360659,0.686121204,0.985456169,1.018541667,1.333375,1.08225,0.64,1.36675,1.3,0.9485,1.216,0.323,0.957,0.666666667,3,0,0,0,0,2,3,3,0.720054866,0.725373041,0.71465695
HT080125LU,38,HT080125LU_38,0,0.637567809,0.689993699,0.67560531,0.520020956,0.701696565,0.677879786,0.638659303,0.70889997,0.518630519,0.521403997,0.259166667,0.3285,0.308375,0.140625,0.3455,0.3115,0.2605,0.35625,0.1395,0.14175,2.666666667,2.666666667,0,0,3,2,3,3,3,0.590292119,0.59783168,0.585269324
HT080125LU,39,HT080125LU_39,3,1.304741071,1.492125399,0.762745151,1.425633247,1.378410268,1.590734205,0.711378661,0.807992795,1.188017318,1.602891905,2.221125,3.322125,0.44375,2.8975,2.619,4.02525,0.36,0.5275,1.67675,4.11825,1.333333333,2.333333333,0.666666667,0,1,2,1,3,3,0.717821065,0.711543294,0.731772227
HT080125LU,3,HT080125LU_3,2,0.96315944,0.840434866,NA,1.060699372,0.846118403,0.834673399,NA,NA,1.0161543,1.101787727,0.8935,0.593625,NA,1.193375,0.60575,0.5815,NA,NA,1.04925,1.3375,2,1.5,1,0,2,0,4,3,3,0.648398424,0.656444765,0.642921216
